V4,V11,V14,V2,V8,V5,V1,V15,V13,V9,V3,V6,V7,V10,V12,V16,Class
secondary,nov,-1,admin.,yes,no,45,0,2,cellular,divorced,714,no,17,136,unknown,1
secondary,feb,-1,technician,no,no,51,0,1,unknown,divorced,1212,no,17,142,unknown,1
secondary,jun,-1,technician,no,no,35,0,1,cellular,married,2474,yes,17,124,unknown,1
secondary,aug,-1,management,no,no,38,0,2,unknown,married,166,no,13,268,unknown,1
secondary,may,-1,management,no,no,26,0,2,cellular,divorced,-374,yes,9,130,unknown,1
tertiary,feb,-1,management,no,no,51,0,2,cellular,married,1542,yes,19,163,unknown,1
tertiary,jul,-1,technician,no,no,37,2,3,unknown,single,13,yes,18,61,unknown,2
secondary,jul,-1,blue-collar,no,no,46,0,1,cellular,married,1077,yes,14,168,unknown,1
secondary,jul,-1,technician,no,no,39,0,1,cellular,divorced,259,yes,30,185,unknown,2
tertiary,may,-1,blue-collar,no,no,33,0,1,unknown,single,938,no,15,57,unknown,1
secondary,feb,-1,technician,no,no,39,0,1,cellular,single,1052,yes,20,124,unknown,1
secondary,feb,-1,entrepreneur,yes,no,38,0,6,cellular,single,-15,no,20,114,unknown,1
secondary,may,-1,blue-collar,no,no,28,0,10,telephone,single,2523,yes,26,0,unknown,2
secondary,jul,-1,management,no,no,56,0,8,cellular,married,3280,yes,11,49,unknown,1
tertiary,aug,260,retired,no,no,44,5,3,cellular,married,1939,yes,14,715,unknown,1
secondary,aug,-1,housemaid,yes,no,46,0,1,cellular,married,613,yes,5,138,unknown,2
secondary,may,-1,technician,yes,no,36,2,2,cellular,single,805,no,9,124,unknown,1
secondary,may,-1,technician,no,no,32,0,3,cellular,married,-1,no,28,104,unknown,1
secondary,may,-1,management,no,no,40,0,1,cellular,single,488,yes,11,264,unknown,1
secondary,aug,-1,management,yes,no,45,3,1,unknown,married,623,no,23,632,unknown,1
secondary,may,110,services,no,no,35,0,2,cellular,divorced,-352,no,14,121,unknown,1
secondary,jun,-1,management,no,no,40,0,2,cellular,married,2676,yes,25,528,unknown,1
secondary,feb,-1,management,no,no,38,0,2,cellular,single,20,yes,16,136,other,1
secondary,feb,291,technician,no,no,51,0,2,unknown,single,849,yes,15,168,failure,1
tertiary,apr,-1,management,no,no,51,0,13,unknown,single,1395,no,17,112,unknown,1
secondary,may,-1,blue-collar,yes,no,43,0,3,cellular,married,0,yes,2,-1,unknown,1
tertiary,may,-1,housemaid,yes,no,39,0,7,cellular,married,594,no,15,482,unknown,1
secondary,may,-1,retired,no,no,29,0,2,cellular,married,488,no,19,853,unknown,1
tertiary,may,364,blue-collar,yes,yes,46,0,4,cellular,single,595,no,4,212,unknown,1
primary,aug,-1,technician,no,no,55,0,1,cellular,single,0,yes,19,95,unknown,1
secondary,aug,-1,management,no,no,56,0,2,cellular,single,5,no,18,515,unknown,1
tertiary,jul,-1,technician,no,no,30,0,1,cellular,married,414,yes,20,119,unknown,1
secondary,jul,-1,blue-collar,no,no,31,0,1,telephone,single,0,no,6,163,unknown,1
secondary,aug,374,blue-collar,no,no,31,0,3,cellular,single,737,yes,27,105,failure,1
secondary,may,-1,management,no,no,55,0,1,cellular,single,2196,yes,13,539,unknown,2
secondary,jun,-1,management,yes,no,36,0,1,cellular,single,1,yes,2,287,unknown,1
secondary,jul,-1,blue-collar,no,no,48,0,1,cellular,divorced,1544,yes,12,138,unknown,1
secondary,may,-1,blue-collar,yes,no,54,0,2,cellular,divorced,1527,no,29,136,unknown,1
secondary,may,-1,blue-collar,no,no,27,0,1,cellular,single,713,yes,17,91,unknown,2
primary,may,-1,management,no,no,28,0,2,cellular,married,179,yes,19,151,unknown,1
tertiary,may,-1,management,no,no,28,10,1,cellular,single,823,no,18,639,unknown,1
secondary,may,-1,technician,no,no,51,0,1,unknown,married,0,yes,18,185,unknown,1
secondary,may,-1,blue-collar,no,no,46,0,1,telephone,married,872,yes,6,150,unknown,1
tertiary,apr,-1,management,no,no,42,0,3,cellular,married,14,no,18,168,unknown,1
secondary,apr,196,blue-collar,no,no,21,0,4,unknown,married,2289,no,20,132,unknown,1
secondary,apr,-1,management,no,no,39,0,4,unknown,single,1373,no,5,111,unknown,1
secondary,jun,-1,admin.,yes,no,33,2,2,cellular,married,1139,no,15,102,unknown,2
secondary,jul,-1,retired,no,no,34,0,1,unknown,married,1032,yes,8,157,unknown,1
secondary,may,-1,technician,no,no,53,0,4,cellular,married,2135,yes,18,103,failure,1
secondary,may,-1,blue-collar,no,no,38,0,2,cellular,married,2287,yes,12,107,unknown,1
secondary,may,-1,entrepreneur,yes,no,28,0,1,unknown,divorced,0,no,14,717,unknown,1
tertiary,jul,-1,management,no,no,45,1,4,unknown,single,4044,no,20,664,unknown,1
secondary,jul,-1,management,no,no,37,0,1,unknown,married,188,no,19,-1,unknown,1
secondary,aug,-1,blue-collar,no,no,48,0,2,cellular,married,813,yes,9,40,unknown,1
secondary,jun,272,blue-collar,no,no,51,0,2,cellular,married,1058,yes,19,199,unknown,1
secondary,apr,-1,blue-collar,no,no,33,4,1,cellular,married,-354,yes,25,114,unknown,1
secondary,aug,-1,management,no,no,28,0,1,cellular,married,741,yes,3,136,unknown,1
unknown,jul,-1,technician,no,no,54,0,2,unknown,married,-287,yes,1,768,unknown,1
tertiary,aug,-1,blue-collar,no,no,34,0,1,cellular,married,50,yes,13,182,unknown,1
secondary,nov,-1,technician,no,no,32,0,3,cellular,single,7,yes,12,11,unknown,1
tertiary,apr,-1,management,yes,no,33,0,2,cellular,divorced,836,no,7,108,failure,1
tertiary,apr,-1,management,no,no,29,0,1,unknown,single,100,yes,13,553,unknown,1
secondary,aug,-1,management,no,no,34,0,1,unknown,married,2937,no,17,60,unknown,1
tertiary,may,-1,services,no,no,30,0,1,cellular,married,542,yes,29,195,unknown,1
secondary,may,-1,management,no,no,43,0,4,cellular,married,38,no,13,208,unknown,1
secondary,aug,-1,management,no,no,30,0,1,telephone,single,24,yes,13,175,unknown,1
secondary,may,-1,technician,no,no,43,0,2,unknown,single,759,no,29,112,unknown,2
tertiary,may,-1,management,no,no,33,0,3,cellular,divorced,0,no,6,173,other,1
tertiary,may,-1,admin.,no,no,60,0,4,cellular,married,588,no,14,114,unknown,1
secondary,may,-1,technician,no,no,54,0,2,cellular,single,732,yes,17,171,unknown,1
secondary,may,-1,management,no,no,46,0,2,cellular,married,972,yes,15,112,unknown,1
secondary,nov,-1,management,no,no,25,0,2,unknown,single,1229,no,24,52,unknown,1
secondary,jul,-1,management,yes,no,55,4,1,cellular,single,108,yes,20,558,unknown,1
secondary,jun,-1,management,no,no,33,0,1,cellular,single,463,yes,25,163,unknown,1
tertiary,apr,-1,technician,no,no,34,0,2,unknown,single,-212,no,20,196,success,1
secondary,feb,-1,retired,no,no,55,0,2,unknown,single,0,yes,20,48,failure,1
tertiary,apr,-1,technician,no,no,46,0,2,cellular,divorced,717,no,18,130,unknown,1
tertiary,may,-1,technician,no,no,45,0,1,cellular,divorced,2929,yes,20,119,other,1
secondary,aug,-1,management,no,no,33,0,3,cellular,single,792,yes,18,341,unknown,1
secondary,may,-1,blue-collar,no,no,54,0,1,unknown,divorced,1,yes,19,684,unknown,1
secondary,feb,-1,admin.,no,no,42,0,2,cellular,single,589,no,30,90,unknown,1
secondary,aug,-1,technician,no,no,34,0,3,cellular,divorced,36,no,16,195,unknown,1
tertiary,jul,-1,blue-collar,yes,no,54,1,4,cellular,married,18,no,12,217,unknown,2
primary,may,-1,blue-collar,no,no,27,0,7,cellular,divorced,-172,no,23,172,unknown,1
primary,jul,-1,technician,no,no,34,0,2,cellular,married,0,yes,21,853,unknown,1
primary,jul,-1,blue-collar,no,no,29,0,5,cellular,single,2160,no,17,245,unknown,1
secondary,aug,-1,housemaid,no,no,55,0,2,cellular,married,528,yes,11,246,unknown,1
secondary,feb,-1,blue-collar,no,no,36,0,2,unknown,married,0,yes,25,115,unknown,1
tertiary,may,-1,services,no,no,31,0,2,cellular,married,3382,yes,21,131,unknown,1
secondary,may,-1,management,no,no,52,3,2,unknown,married,785,no,8,152,unknown,1
tertiary,jan,-1,blue-collar,yes,no,36,0,2,cellular,divorced,878,yes,28,542,unknown,1
primary,jul,-1,blue-collar,no,no,47,0,2,cellular,married,-129,yes,18,142,unknown,1
secondary,nov,-1,management,no,no,36,0,1,unknown,married,1,yes,15,182,unknown,1
secondary,may,-1,blue-collar,no,no,31,0,1,cellular,single,816,yes,28,103,unknown,1
secondary,apr,-1,blue-collar,no,no,44,0,1,cellular,married,-1250,yes,12,123,unknown,1
tertiary,jun,-1,admin.,yes,no,40,2,2,unknown,single,1583,yes,16,343,unknown,1
tertiary,aug,-1,blue-collar,no,no,43,0,3,cellular,single,0,yes,19,86,failure,1
tertiary,jun,-1,management,no,no,36,0,2,cellular,married,1215,yes,17,143,unknown,1
primary,jun,-1,management,no,no,34,0,2,cellular,married,-354,no,4,559,unknown,1
tertiary,may,165,blue-collar,no,no,33,0,1,cellular,single,-8,yes,18,123,unknown,1
tertiary,jul,-1,blue-collar,no,no,41,0,3,cellular,single,-15,no,20,127,unknown,2
secondary,may,-1,services,no,no,34,0,5,cellular,married,0,no,19,185,unknown,1
secondary,aug,-1,management,no,no,38,0,2,cellular,married,1,yes,12,441,unknown,2
secondary,jul,-1,services,no,no,20,0,3,cellular,married,738,yes,14,2231,unknown,1
secondary,jun,-1,services,no,no,40,0,2,cellular,divorced,2314,no,2,685,failure,1
tertiary,apr,-1,entrepreneur,no,no,57,0,2,cellular,single,2587,yes,18,130,unknown,1
secondary,jul,-1,management,no,no,35,0,3,cellular,married,578,yes,21,-1,failure,1
primary,jul,-1,management,no,no,33,0,1,cellular,married,487,yes,20,126,failure,1
primary,nov,-1,management,no,no,43,0,4,unknown,married,495,yes,28,664,unknown,1
tertiary,may,-1,technician,no,no,50,0,1,cellular,married,-1,no,15,107,failure,1
tertiary,aug,-1,retired,no,no,46,0,1,cellular,married,1077,no,6,126,unknown,1
secondary,jan,-1,blue-collar,no,no,48,0,2,cellular,single,944,no,17,150,unknown,1
unknown,may,-1,technician,no,no,39,0,1,cellular,married,2980,no,5,7,unknown,1
secondary,may,-1,technician,no,no,30,0,2,cellular,single,0,no,20,122,unknown,1
tertiary,aug,-1,management,no,no,60,0,2,cellular,married,527,yes,15,714,unknown,1
tertiary,jul,-1,admin.,no,no,31,0,1,unknown,single,1122,yes,7,121,unknown,1
secondary,jul,-1,technician,no,no,43,0,1,cellular,married,557,yes,14,136,unknown,1
tertiary,nov,-1,blue-collar,no,no,32,0,2,cellular,married,873,no,15,168,unknown,1
tertiary,jul,-1,management,yes,no,53,0,3,unknown,married,3730,yes,16,110,unknown,2
secondary,nov,-1,blue-collar,no,no,55,0,2,cellular,single,406,yes,19,171,unknown,2
secondary,jul,-1,unemployed,no,no,37,0,5,cellular,single,19,yes,14,714,unknown,1
secondary,may,-1,blue-collar,yes,no,47,0,1,unknown,married,8251,no,23,703,unknown,1
secondary,may,-1,blue-collar,no,no,35,0,2,cellular,single,2938,no,31,111,unknown,1
secondary,nov,-1,management,no,no,26,0,5,cellular,married,4962,no,20,742,unknown,1
primary,may,-1,management,no,no,33,0,2,cellular,married,0,yes,18,210,unknown,1
secondary,may,-1,blue-collar,no,no,75,0,2,unknown,married,-15,yes,21,159,unknown,1
primary,may,-1,management,no,no,42,0,8,cellular,single,480,yes,18,150,unknown,1
secondary,aug,-1,technician,no,no,35,0,2,unknown,single,903,no,20,489,unknown,1
tertiary,jul,-1,blue-collar,no,no,32,0,2,cellular,married,-339,yes,13,168,unknown,1
secondary,dec,-1,blue-collar,no,no,48,0,3,unknown,married,-254,no,9,723,unknown,1
secondary,jul,-1,technician,no,no,46,0,5,cellular,married,0,no,21,253,failure,1
secondary,nov,-1,services,no,no,33,0,2,cellular,married,1613,yes,7,105,unknown,2
primary,jun,-1,blue-collar,no,no,43,0,4,cellular,married,169,yes,14,190,unknown,2
secondary,may,-1,management,no,no,26,0,2,telephone,married,3302,yes,30,123,unknown,1
primary,aug,-1,blue-collar,yes,no,56,0,2,cellular,married,1594,no,11,136,unknown,2
secondary,nov,-1,blue-collar,no,no,35,0,2,cellular,divorced,-297,yes,29,139,unknown,1
secondary,aug,-1,admin.,yes,no,54,0,1,unknown,married,-1,yes,7,6,unknown,1
secondary,feb,-1,management,no,no,49,0,4,unknown,divorced,1577,yes,4,477,unknown,1
secondary,aug,-1,management,no,no,35,0,2,cellular,married,2599,no,14,2,unknown,1
primary,may,-1,services,no,no,35,0,1,cellular,married,741,yes,7,150,unknown,1
tertiary,jun,-1,technician,no,no,29,0,2,cellular,married,449,no,18,208,unknown,1
tertiary,feb,-1,retired,no,no,57,0,3,cellular,single,2095,no,18,863,unknown,1
tertiary,aug,-1,management,no,no,34,1,2,cellular,single,335,yes,18,168,unknown,1
tertiary,apr,152,admin.,no,no,39,0,2,cellular,married,2054,yes,19,150,unknown,1
tertiary,apr,-1,blue-collar,no,no,39,0,2,cellular,married,15302,yes,7,112,unknown,1
secondary,apr,-1,management,yes,no,29,0,2,cellular,single,0,no,21,70,unknown,1
secondary,jul,-1,blue-collar,no,no,33,0,2,unknown,single,1211,no,13,393,unknown,1
secondary,nov,-1,blue-collar,yes,no,37,0,1,cellular,married,1134,yes,14,150,unknown,1
secondary,nov,-1,admin.,no,no,35,0,2,unknown,married,0,no,5,124,unknown,1
secondary,feb,-1,technician,yes,no,35,0,1,cellular,married,0,no,23,119,unknown,2
secondary,jul,-1,technician,no,no,33,0,4,cellular,single,1637,yes,21,60,unknown,1
secondary,may,-1,blue-collar,no,no,42,0,6,cellular,divorced,206,no,20,104,unknown,1
secondary,may,-1,management,no,no,37,0,1,cellular,single,4,no,6,138,unknown,1
tertiary,apr,-1,services,yes,no,54,0,2,cellular,divorced,0,no,9,36,failure,1
secondary,jul,-1,management,no,no,36,0,3,cellular,married,1349,yes,18,138,unknown,1
secondary,jul,-1,admin.,no,no,45,0,2,cellular,married,3063,no,16,138,unknown,1
primary,jun,-1,blue-collar,yes,no,43,0,2,unknown,married,715,no,2,107,unknown,1
tertiary,jun,-1,housemaid,no,no,51,0,1,cellular,single,5999,yes,30,872,unknown,2
secondary,jul,-1,blue-collar,no,no,31,1,1,cellular,married,0,yes,7,167,unknown,1
secondary,jul,-1,technician,no,no,37,0,1,unknown,married,533,no,29,441,unknown,1
secondary,apr,-1,blue-collar,no,no,50,0,2,cellular,married,716,no,29,480,unknown,1
tertiary,may,-1,admin.,no,no,57,0,3,cellular,married,-1664,yes,18,7,unknown,1
secondary,jun,-1,management,no,no,41,0,1,cellular,married,3531,yes,12,1171,unknown,1
secondary,may,-1,blue-collar,no,no,46,0,5,cellular,married,-386,yes,9,150,unknown,1
tertiary,aug,-1,technician,no,no,52,0,2,cellular,married,0,no,8,121,unknown,1
unknown,may,-1,management,no,no,31,0,2,cellular,married,1993,yes,18,488,unknown,1
secondary,jan,287,admin.,yes,no,30,0,2,cellular,married,882,yes,15,172,unknown,1
secondary,may,-1,technician,no,no,33,0,1,telephone,married,136,no,17,988,unknown,1
secondary,jun,-1,technician,no,no,60,0,1,cellular,single,3681,no,11,252,unknown,1
secondary,aug,-1,blue-collar,no,no,34,0,1,unknown,single,13,yes,30,623,unknown,1
tertiary,may,-1,entrepreneur,yes,no,33,0,1,unknown,married,0,yes,12,151,unknown,1
secondary,apr,-1,services,no,no,37,0,2,unknown,married,515,yes,2,83,unknown,1
tertiary,jul,-1,admin.,no,no,26,0,1,cellular,married,28,yes,4,132,unknown,1
unknown,may,-1,management,no,no,34,0,3,cellular,married,916,no,28,112,unknown,1
secondary,feb,167,blue-collar,no,no,32,0,2,cellular,married,259,yes,20,159,unknown,1
tertiary,aug,-1,admin.,no,no,50,0,9,cellular,divorced,18188,yes,19,112,failure,1
secondary,jul,-1,management,no,no,36,0,2,unknown,divorced,416,no,28,553,unknown,1
secondary,apr,-1,entrepreneur,no,no,36,0,2,cellular,single,178,yes,28,1697,unknown,1
secondary,jul,-1,admin.,no,no,54,0,2,cellular,divorced,3508,yes,9,93,unknown,2
secondary,nov,-1,blue-collar,no,no,33,0,5,unknown,married,1138,no,19,173,unknown,1
secondary,apr,-1,management,no,no,31,0,1,cellular,married,-1,yes,8,168,unknown,1
tertiary,jul,-1,management,no,no,31,0,1,cellular,single,-271,no,21,488,unknown,1
tertiary,jul,-1,management,no,no,33,0,1,cellular,married,573,no,20,240,unknown,1
secondary,jul,-1,technician,no,no,39,0,1,cellular,married,578,no,12,151,unknown,1
secondary,sep,-1,technician,no,no,46,0,1,cellular,married,29,yes,14,559,unknown,1
secondary,jul,-1,admin.,no,no,58,0,1,cellular,married,0,no,14,158,failure,2
secondary,jun,-1,management,no,no,37,0,1,unknown,married,202,no,30,136,unknown,1
tertiary,jun,-1,admin.,no,no,43,5,1,cellular,married,991,yes,15,112,unknown,2
tertiary,may,-1,admin.red-hot,yes,no,40,0,1,cellular,single,855,yes,24,130,unknown,1
tertiary,may,-1,admin.,no,no,29,0,1,cellular,married,23,yes,5,104,unknown,1
primary,aug,-1,blue-collar,no,no,58,0,1,unknown,married,4,yes,6,124,unknown,2
secondary,jun,-1,blue-collar,no,no,59,2,2,cellular,married,715,yes,27,106,unknown,1
tertiary,may,-1,retired,no,no,37,0,1,unknown,single,2042,no,23,508,unknown,2
tertiary,apr,10,blue-collar,no,no,45,0,12,cellular,married,18,yes,17,957,unknown,1
secondary,aug,-1,admin.,no,no,31,0,1,unknown,married,0,yes,19,163,unknown,1
tertiary,may,-1,services,no,no,43,0,2,cellular,married,631,yes,17,107,unknown,2
secondary,jun,-1,admin.,no,no,45,0,3,cellular,single,544,no,29,94,unknown,1
secondary,jul,-1,admin.,no,no,30,0,1,cellular,married,2141,yes,18,0,failure,1
tertiary,may,-1,management,no,no,38,2,2,cellular,married,0,yes,4,370,unknown,2
secondary,jun,-1,technician,no,no,44,0,4,cellular,single,632,no,14,136,unknown,1
primary,jun,-1,technician,no,no,33,0,2,cellular,married,398,no,31,959,unknown,2
primary,aug,-1,management,no,no,34,2,4,unknown,married,-91,no,18,324,failure,1
secondary,feb,-1,blue-collar,no,no,43,0,1,cellular,single,588,yes,21,124,unknown,1
secondary,jun,-1,management,no,no,59,0,2,cellular,married,762,yes,27,97,unknown,1
secondary,apr,-1,blue-collar,no,no,39,1,2,cellular,married,-1216,yes,22,973,unknown,1
unknown,aug,-1,retired,no,no,37,0,1,cellular,single,794,yes,20,108,unknown,1
tertiary,may,-1,blue-collar,yes,no,23,0,2,unknown,married,-1,yes,17,349,unknown,1
secondary,may,-1,blue-collar,no,no,32,0,2,unknown,divorced,-1,yes,10,865,unknown,1
secondary,jul,-1,blue-collar,no,no,45,0,5,cellular,married,217,no,4,183,unknown,2
tertiary,jul,-1,blue-collar,no,no,31,0,3,cellular,married,-354,no,14,260,unknown,1
secondary,jun,-1,services,no,no,39,0,2,cellular,married,0,no,13,171,unknown,1
secondary,may,-1,management,no,no,46,0,4,cellular,married,0,no,12,46,unknown,2
unknown,may,-1,admin.,no,no,32,0,4,cellular,married,-1,no,5,126,unknown,1
secondary,may,-1,blue-collar,no,no,33,0,1,cellular,single,3839,no,20,103,failure,1
primary,apr,-1,management,no,no,52,0,2,unknown,married,633,yes,19,463,failure,1
tertiary,may,-1,blue-collar,no,no,47,0,1,cellular,married,0,no,7,39,unknown,1
secondary,jul,-1,technician,no,no,27,0,1,cellular,single,854,yes,18,40,unknown,1
secondary,jun,94,housemaid,no,no,34,0,1,telephone,married,0,yes,25,199,unknown,1
secondary,may,-1,admin.,no,no,59,0,1,cellular,divorced,979,no,18,7,unknown,1
secondary,feb,-1,services,no,no,32,2,1,cellular,divorced,3067,yes,28,231,unknown,1
secondary,apr,-1,unemployed,no,no,51,0,2,cellular,married,662,yes,18,92,unknown,1
tertiary,may,-1,admin.,no,no,24,2,1,cellular,divorced,1292,yes,11,631,unknown,1
secondary,jun,-1,technician,no,no,32,0,2,cellular,married,507,yes,20,436,unknown,2
tertiary,jul,-1,blue-collar,no,no,38,0,12,cellular,married,0,yes,27,136,unknown,1
secondary,jul,-1,blue-collar,no,no,42,0,3,cellular,single,1,no,19,252,unknown,2
secondary,jul,-1,technician,no,no,37,0,4,cellular,single,597,yes,19,126,unknown,1
secondary,feb,-1,management,no,no,39,0,2,cellular,married,1354,yes,18,2,unknown,2
secondary,aug,-1,technician,yes,no,49,0,4,cellular,married,0,no,16,47,other,1
tertiary,apr,-1,management,no,no,47,0,2,cellular,divorced,661,yes,20,60,unknown,1
secondary,jul,-1,blue-collar,no,no,34,0,2,cellular,married,0,yes,29,111,unknown,1
secondary,jun,-1,management,no,no,33,5,1,unknown,married,873,no,13,532,unknown,1
tertiary,may,-1,technician,yes,no,44,0,2,cellular,married,852,yes,14,954,unknown,1
tertiary,jul,-1,management,yes,no,40,0,2,cellular,married,913,yes,9,109,unknown,1
tertiary,aug,-1,management,no,no,38,0,3,unknown,married,1733,no,14,644,unknown,1
secondary,aug,-1,management,no,no,46,0,1,cellular,married,946,no,30,81,unknown,1
secondary,may,-1,technician,no,no,37,0,1,cellular,single,879,no,23,105,unknown,1
tertiary,aug,-1,blue-collar,no,no,34,0,3,unknown,single,763,yes,13,130,unknown,2
tertiary,aug,-1,blue-collar,no,no,49,0,4,cellular,single,223,yes,6,179,unknown,1
secondary,jan,-1,blue-collar,no,no,47,0,4,cellular,married,-1385,yes,9,138,unknown,1
tertiary,may,-1,technician,no,no,38,0,1,unknown,single,829,yes,19,482,unknown,1
secondary,aug,-1,admin.,no,no,42,0,2,cellular,single,-1050,no,18,77,unknown,1
secondary,jul,-1,management,yes,no,48,0,1,cellular,single,759,yes,19,168,unknown,1
secondary,jul,-1,technician,no,no,60,1,2,cellular,married,314,no,20,112,unknown,1
secondary,jun,-1,blue-collar,no,no,53,0,3,cellular,single,549,no,5,179,unknown,1
secondary,jun,-1,admin.,no,no,57,0,2,unknown,married,892,no,21,92,unknown,1
tertiary,nov,-1,entrepreneur,no,no,47,2,2,cellular,married,26,yes,17,49,unknown,2
secondary,jul,-1,management,no,no,29,0,5,cellular,married,196,yes,4,151,unknown,1
secondary,may,-1,admin.,no,no,36,0,2,cellular,married,509,no,9,163,unknown,1
primary,jun,-1,management,no,no,37,0,2,cellular,single,0,yes,19,120,unknown,1
tertiary,may,271,blue-collar,no,no,34,0,2,cellular,married,914,yes,8,199,unknown,2
secondary,jul,-1,management,no,no,42,0,1,cellular,married,0,yes,3,9,unknown,1
secondary,apr,-1,blue-collar,no,no,46,0,3,cellular,married,2943,yes,5,322,unknown,1
tertiary,nov,-1,blue-collar,no,no,52,0,1,unknown,single,1,no,17,8,unknown,1
tertiary,may,-1,retired,no,no,58,0,1,cellular,married,898,yes,22,131,unknown,1
secondary,apr,-1,services,no,no,58,0,2,unknown,married,2237,yes,4,514,unknown,2
primary,jul,-1,technician,no,no,35,0,1,cellular,married,2866,yes,20,150,unknown,1
tertiary,nov,181,technician,no,no,31,0,2,cellular,single,376,yes,25,175,unknown,1
secondary,feb,329,management,no,no,41,0,4,cellular,married,40,yes,28,558,unknown,1
secondary,aug,-1,self-employed,no,no,33,0,1,unknown,married,218,yes,15,328,unknown,1
tertiary,may,-1,blue-collar,no,no,28,0,1,unknown,married,974,yes,28,108,unknown,1
tertiary,jun,-1,technician,no,no,30,0,1,unknown,married,412,yes,5,126,unknown,2
tertiary,jul,-1,admin.,no,no,33,0,1,unknown,single,3200,yes,11,395,unknown,1
tertiary,jul,-1,blue-collar,no,no,59,0,1,cellular,married,0,no,25,108,unknown,1
secondary,may,-1,management,no,no,35,0,1,cellular,married,783,no,20,183,unknown,2
primary,jul,-1,blue-collar,no,no,43,0,2,cellular,married,73,yes,20,130,failure,1
secondary,may,-1,blue-collar,no,no,34,0,2,cellular,married,101,yes,28,150,unknown,1
secondary,jul,-1,management,no,no,33,0,1,cellular,single,16,yes,7,92,unknown,1
secondary,may,-1,management,no,no,41,0,1,telephone,married,-14,no,26,476,unknown,1
tertiary,aug,-1,technician,no,no,50,5,1,unknown,single,0,no,23,111,success,1
secondary,aug,-1,technician,no,no,31,0,2,cellular,married,218,no,11,113,unknown,1
tertiary,jun,-1,management,no,no,55,0,1,cellular,married,427,yes,21,340,unknown,1
secondary,feb,-1,services,yes,no,34,0,2,cellular,single,680,yes,28,485,unknown,1
secondary,apr,-1,management,no,no,47,0,1,cellular,married,456,no,8,213,unknown,1
secondary,apr,-1,technician,yes,no,39,0,1,cellular,divorced,595,yes,18,1681,unknown,1
secondary,jul,-1,blue-collar,no,no,51,0,1,cellular,married,-295,no,9,749,failure,1
tertiary,nov,-1,management,no,no,56,0,1,cellular,married,936,yes,19,168,unknown,1
secondary,jun,-1,blue-collar,no,no,54,0,1,unknown,divorced,1645,yes,26,-1,unknown,1
tertiary,jul,-1,admin.,yes,no,57,0,1,cellular,married,-355,no,19,122,unknown,1
